"","segment","int","slope","R2","D","D_sd","Tc","Tc_sd","mols_per_sec","TreeID","sp","lichen","apex_dist","fresh_mass","dry_mass","length_counted_lenticel","n_lenticels","lenticel_diam1","lenticel_diam2","lenticel_diam3","lenticel_diam4","lenticel_diam5","lenticel_diam6","lenticel_diam7","lenticel_diam8","lenticel_diam9","lenticel_diam10","exposed_length","total_length","basal_diam1","basal_diam2","basal_xylem_diam1","basal_xylem_diam2","basal_pith_diam1","basal_pith_diam2","distal_diam1","distal_diam2","distal_xylem_diam1","distal_xylem_diam2","distal_pith_diam1","distal_pith_diam2","treatment","sampleID","diam","wood_diam","sa","bark_thickness","vol","water_content","density","lenticel_size","LD","E","gs","bark_thickness_ratio"
"47","010B","1.85057740355379",-0.00691545425820932,"0.99984",0.122261159436066,"0.00566096738406046","24.5317568627451","0.225768498583032",1.06629456559612e-07,10,"TD",0.1,44,1.746,0.7812,29.54,5,1.26,1.05,0.81,1.54,1.34,1.13,1.81,1.98,1.31,1.39,34.66,55.49,6.33,6.81,6.07,5.23,0.8,0.78,6.51,6.09,4.9,5.36,0.42,0.55,"25C","010B",6.435,5.39,0.000700691714837972,0.5225,574.4494738125,0.00167952107884585,0.00135991072428936,1.362,0.0263033438388889,0.152177418830005,1.24469144192586,0.0811965811965811
"48","010C","1.65422388970828",-0.00580215970473237,"0.99805",0.306244660273937,"0.0238996172669223","32.6814108737864","0.99300380609632",8.94635569967453e-08,10,"TD",0.08,58,1.4469,0.75,54.13,11,2.41,1.68,1.63,1.58,1.81,1.38,1.02,1.58,1.24,1.62,36.96,54.13,6.43,6.64,5.17,5.21,1.46,1.85,6.25,6.27,5.48,5.36,1.27,1.28,"35C","010C",6.3975,5.305,0.000742834609489552,0.54625,553.858244578125,0.00125826419814483,0.00135413710519246,1.595,0.0317646711450521,0.120435364553385,0.393265190144555,0.0853849159828058
"49","010D","2.02735954805896",-0.0146722932419222,"0.9922",0.575384151302746,"0.0120102241610128","40.8043252525253","0.287407369841965",2.26232232396336e-07,10,"TD",0.3,67,1.8139,0.9762,63.81,1,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.51,63.81,7.35,6.55,6.29,5.45,1.06,0.85,6.76,5.84,5.45,4.56,0.68,0.61,"45C","010D",6.625,5.4375,0.000801510606719547,0.59375,700.1651953125,0.00119643193578926,0.00139424239670225,2.07,0.00236551318330066,0.282257315748156,0.490554554047219,0.0896226415094339
"50","010E","1.59972771152481",-0.0370844625085741,"0.99132",1.36622818076689,"0.00956907059790386","55.122915","0.125420598191462",5.71805688599624e-07,10,"TD",0.1,66,1.5456,0.7744,46.51,3,1.35,1.88,2.07,NA,NA,NA,NA,NA,NA,NA,33.96,46.51,6.89,6.7,5.97,5.65,1.11,0.84,6.25,6.77,5.07,5.35,0.77,0.69,"55C","010E",6.6525,5.51,0.000709745156547087,0.57125,514.583805796875,0.00149868688309329,0.00150490550086546,1.76666666666667,0.00969594251469602,0.805649300069141,0.589688685543666,0.0858699736941
"51","011A","3.20608468954286",-0.00219454750766251,"0.98909",0.0838074902492586,"0.0164439698926007","10.2498945268817","0.554695318435218",3.3837749394195e-08,11,"TD",0,112,3.0076,1.3207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.91,46.47,9.06,9.54,8.4,8.09,0.95,0.56,9.15,9.65,8.56,8.25,0.77,0.64,"10C","011A",9.35,8.325,0.000996068654358199,0.512499999999999,1015.63089375,0.0016609380537564,0.00130037399229123,NA,NA,0.0339713023255388,0.405349238170741,0.0548128342245989
"52","011B","4.2135489808044",-0.00590756988021929,"0.99931",0.13669908585362,"0.0103470324217591","25.2185833333333","0.721592901390444",9.10888775192085e-08,11,"TD",0.02,107,4.0275,1.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.53,54.97,11.21,10.18,8.72,9.71,1.48,1.27,9.11,9.97,8.22,7.55,1.08,0.69,"25C","011B",10.1175,8.55,0.00132003369432701,0.78375,1406.73460739062,0.00145692015340523,0.00140609322441354,NA,NA,0.0690049639722629,0.504794626396805,0.0774647887323944
"53","011C","2.83180776833946",-0.00529244444195897,"0.99714",0.339021659643684,"0.0351277300933246","33.5703694565217","1.42307348048593",8.16042523957282e-08,11,"TD",0,80,2.5886,1.1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.79,60.05,7.57,7.68,6.69,4.97,1.01,0.81,7.93,7.33,6.04,6.85,0.56,0.76,"35C","011C",7.6275,6.1375,0.000929505296072286,0.745,873.408578203125,0.00168523648236677,0.00127855396416807,NA,NA,0.087793208646099,0.258960470957433,0.0976728941330711
"54","011D","2.98471733058391",-0.0105545695999197,"0.99868",0.542748356423427,"0.0366501243236659","39.8783494382022","0.881706207221595",1.62741011456196e-07,11,"TD",0.4,82,2.7552,1.3883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.87,68.1,7.85,8.01,7.11,7.02,0.45,0.57,8.02,7.72,6.31,6.64,0.66,0.84,"45C","011D",7.9,6.77,0.00128733984643945,0.565,1062.53025,0.00128645749144554,0.00130659809450131,NA,NA,0.126416510687763,0.232919195777608,0.0715189873417721
"55","011E","2.70859834824505",-0.0228819552031352,"0.99421",1.38889318729446,"0.00953574200829906","55.3960747126437","0.110775878312496",3.52817090133351e-07,11,"TD",0.4,79,2.3715,1.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.65,53.4,7.65,7.79,6.63,6.37,0.81,0.73,8.18,7.99,6.41,7.07,0.6,0.65,"55C","011E",7.9025,6.62,0.000711277389824059,0.64125,833.7009084375,0.00164171585534815,0.00120282944381028,NA,NA,0.496033045870646,0.3571426877231,0.0811452072129073
"56","012A","2.3972421796422",-0.00409196999081669,"0.99714",0.0826095994430866,"0.0179202004499474","10.7434191931818","1.10310771689509",6.30941251416805e-08,12,"TD",0.15,70,2.2364,1.0873,48.32,6,0.83,1.05,0.99,1.41,1.38,1.36,NA,NA,NA,NA,34.41,48.32,8.3,7.9,6.51,6.22,1.19,1.21,7.89,7.5,6.22,6.61,0.75,1.02,"10C","012A",7.8975,6.39,0.000853737149851171,0.753750000000001,753.4357155,0.00152514670642794,0.00144312245574719,1.17,0.0157229737803689,0.0739034551239565,0.894610984948206,0.0954415954415955
"57","012B","4.93970031984456",-0.0094172962094953,"0.99886",0.110780439093348,"0.00831223118049069","23.3213325581395","0.306431724836578",1.45205381972897e-07,12,"TD",0,75,4.7092,2.1133,72.02,8,0.84,2.08,1.05,0.88,0.99,1.2,1.34,0.97,NA,NA,48.28,72.02,9.39,9.92,7.94,8.41,0.82,0.82,8.94,8.54,7.16,7.64,1.21,1.23,"25C","012B",9.1975,7.7875,0.00139504086826761,0.705,1523.11508253125,0.00170433608712344,0.00138748543970028,1.16875,0.0120772226675279,0.10408683019675,0.939577700256649,0.0766512639304158
"58","012C","4.58320494339619",-0.0188839951228489,"0.99841",0.321725511260547,"0.0264268749049378","32.9512825581395","1.05178133398556",2.91172504717737e-07,12,"TD",0,69,4.4369,2.0265,73.66,6,1.16,0.85,0.68,0.73,0.65,1.05,NA,NA,NA,NA,62.21,73.66,9.36,9.6,7.89,7.93,1.69,1.54,8.68,8.56,7.41,7.45,1.04,1.22,"35C","012C",9.05,7.67,0.00176871823476738,0.69,1508.2345375,0.00159815992809407,0.0013436239189689,0.853333333333333,0.00900058953861478,0.164623453862922,0.511689151469258,0.076243093922652
"59","012D","1.9680924441271",-0.0154449681539823,"0.99561",0.645752167200821,"0.0906811034816112","42.2159730487805","2.00517756823056",2.3814611439077e-07,12,"TD",0,49,1.8119,0.8237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.19,49.94,7.05,7.36,6.15,6.17,0.63,0.48,7.15,7.29,6.2,6.02,1.23,1,"45C","012D",7.2125,6.135,0.000706726007467171,0.53875,649.47165078125,0.00152154447205093,0.0012682616693264,NA,NA,0.336970922075246,0.521827009169684,0.0746967071057193
"60","012E","3.99256478816889",-0.0736976531771891,"0.99239",1.38092419035618,"0.0110322606985169","55.2160929268293","0.114022470543568",1.13634483210902e-06,12,"TD",0.02,60,3.6941,1.4312,52.2,5,1.1,1.89,1.25,0.79,1.18,NA,NA,NA,NA,NA,28.7,52.2,9.94,10.04,8.61,8.41,0.77,0.71,9.81,9.9,7.63,8.28,1.2,1.45,"55C","012E",9.9225,8.2325,0.000894649404120523,0.845,1284.8508815625,0.00176121605430826,0.00111390358253833,1.242,0.00965335758256758,1.27015658522245,0.919787338141158,0.0851599899218947
"61","013A","3.59683008904431",-0.00185969358280116,"0.99284",0.0841278074584624,"0.016080597736365","10.2105825306122","0.566569109613552",2.8674633465486e-08,13,"MG",0,57,3.4062,1.7524,22.17,10,1.03,0.92,0.76,0.98,0.81,0.91,0.87,0.74,0.86,0.84,54.48,65.91,8.54,8.98,6.26,7.47,3.84,3.26,8.68,8.06,6.37,7.15,2.97,3.98,"10C","013A",8.565,6.8125,0.00146593373392925,0.87625,1208.7766299375,0.00136816013731628,0.0014497302120166,0.872,0.0526631629864332,0.0195606614417878,0.232511247264417,0.102305896088733
"62","013B","4.02625818161209",-0.00544228718882394,"0.99138",0.135841779726403,"0.0105576478394722","25.1436010416667","0.75721559475903",8.39146791690156e-08,13,"MG",0.05,24,3.8798,1.8077,19.88,15,1.26,0.95,0.77,0.98,0.76,0.59,0.62,0.98,1.06,1.07,51.75,66.45,8.61,9.06,6.91,7.25,0.92,1.02,8.59,8.31,6.67,6.9,0.99,0.75,"25C","013B",8.6425,6.9325,0.00140507535082263,0.855,1240.83424382813,0.0016699248995638,0.00145684245014308,0.904,0.0873042710995507,0.0597225473494259,0.439647857012123,0.0989297078391669
"63","013C","4.33847324599867",-0.00916084604296972,"0.99722",0.335592149228559,"0.038187904375467","33.4199915625","1.57180082854856",1.41251174357572e-07,13,"MG",0,55,4.1473,2.0758,29.63,19,1,1.01,0.73,0.78,0.95,0.72,0.62,0.8,0.78,0.78,57.01,72.15,9.08,9.81,7.72,7.65,1.07,1.37,9.61,8.87,6.87,7.88,1.34,0.93,"35C","013C",9.3425,7.53,0.00167326227716493,0.90625,1574.35459898437,0.00131577727237329,0.00131850855032221,0.817,0.0686370869119822,0.0844166370599705,0.251545327428019,0.097002943537597
"64","013D","4.40388969422817",-0.00918491021625354,"0.99703",0.54611447238993,"0.0392906120944126","39.9569548387097","0.940719805364849",1.41622220079805e-07,13,"MG",0,48,4.1755,2.1193,38.93,29,0.8,0.95,0.96,0.69,0.87,1.03,0.78,0.93,1.04,0.56,62.37,77.65,9.35,8.75,7.47,6.87,4.02,4.39,8.85,8.88,7.2,7.18,3.85,3.33,"45C","013D",8.9575,7.18,0.00175514270605287,0.888750000000001,1557.59700132813,0.00132011039970334,0.00136062152032453,0.861,0.0831623546388356,0.080689860483367,0.14775264997144,0.0992185319564611
"65","013E","6.00401319770376",-0.05172907784019,"0.99763",1.3899875415545,"0.00981781026826867","55.3989053684211","0.106382162036673",7.9761115502738e-07,13,"MG",0,66,5.6972,2.9695,27.9,29,0.65,0.73,0.95,0.76,0.81,0.73,0.8,0.84,0.91,0.85,63.87,80.68,10.35,9.84,8.45,8.29,5.62,3.99,9.2,10,8.39,7.5,4.21,4.38,"55C","013E",9.8475,8.1575,0.00197593556562312,0.845000000000001,1955.9505785625,0.00139456488824206,0.00151818764366858,0.803,0.105552325290428,0.403662532778922,0.290407302735594,0.0858085808580859
"66","014A","5.58528298552181",-0.00382810090893748,"0.99542",0.0834140101717011,"0.0210847450580332","11.2239877368421","0.592783243960951",5.90255251982619e-08,14,"CC",0.15,117,5.4145,3.3308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.77,82.69,8.8,9.35,7.46,7.16,1.71,2.23,8.53,8.69,7.47,7.51,4.72,4.38,"10C","014A",8.8425,7.4,0.00179928035495985,0.72125,1616.37876970312,0.00128911616451304,0.00206065562257524,NA,NA,0.0328050740039226,0.393280144862907,0.081566299123551
"67","014B","2.98159333358851",-0.0033875659071987,"0.99952",0.111006516139482,"0.00676905862375465","23.7325454545455","0.176145828157565",5.2232911715911e-08,14,"CC",0.03,81,2.8258,1.7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.81,65.77,8.14,8.27,7.25,7.04,2.33,2.76,7.05,7.46,6.45,6.44,2.05,2.55,"25C","014B",7.73,6.795,0.00120961150348213,0.4675,982.48705825,0.00112032010066429,0.00175585010053235,NA,NA,0.0431815600013288,0.389000227221528,0.0604786545924968
"68","014C","2.39935794264235",-0.00568747902108122,"0.99625",0.334904167698683,"0.01637521224588","33.6870111607143","0.458612432212344",8.76952944186086e-08,14,"CC",0.15,101,2.1787,1.3572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.02,37.5,9.19,9.7,8.13,8.52,0.86,0.87,8.38,8.7,7.66,7.91,1.39,1.3,"35C","014C",8.9925,8.055,0.000791586629686122,0.46875,758.10990234375,0.00108361597370022,0.00179024175228964,NA,NA,0.110784203686438,0.330793744514139,0.0521267723102585
"69","014D","5.22166883669436",-0.0238664275338034,"0.99232",0.590026200658319,"0.0839170418393172","41.0625964220184","1.79977616935259",3.67996678588081e-07,14,"CC",0.08,71,4.9989,2.8308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.69,78.79,8.13,8.06,7.5,7.25,1.17,1.21,8.28,7.79,6.86,7.19,1.11,0.92,"45C","014D",8.065,7.2,0.00171505779020884,0.4325,1281.2086219375,0.00169223026045618,0.0022094762332454,NA,NA,0.214568092509157,0.363658583753998,0.0536267823930564
"70","014E","4.40522911566859",-0.0248114128668008,"0.99101",1.16517935823446,"0.463694605139138","50.1638774528302","11.2383213886401",3.82567416641145e-07,14,"CC",0.3,103,4.0095,2.4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.08,62.05,10,9.7,9.22,8.38,1.37,1.92,9.15,9.11,7.79,7.61,0.93,0.88,"55C","014E",9.49,8.25,0.00113530623988016,0.62,1397.05730125,0.00108392118107475,0.00178603984086225,NA,NA,0.336972882912657,0.289202585448524,0.065331928345627
"71","015A","4.77158316615348",-0.00257746061727078,"0.99789",0.085649980645445,"0.0200480159915899","10.8074764494382","0.506327035982091",3.97418903605837e-08,15,"CC",0.2,105,4.6441,2.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.9,94.1,8.07,8.53,7.18,7.53,1.42,1.19,7.56,7.73,7.49,6.29,1.29,1.06,"10C","015A",7.9725,7.1225,0.00177578603283979,0.425,1495.26679078125,0.00114701938849581,0.00195884775750931,NA,NA,0.0223798867800697,0.26129470913383,0.0533082470994042
"72","015B","4.12428418240107",-0.00314471793795549,"0.99871",0.122105889957611,"0.00623902447110804","24.5279186046512","0.244346631080486",4.84884365129596e-08,15,"CC",0.5,86,3.8981,2.3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.49,80.87,7.93,8.61,7.06,6.13,0.92,1.16,7.75,7.75,6.35,7.03,0.56,0.68,"25C","015B",8.01,6.6425,0.00122020998045828,0.68375,1297.15682175,0.00121357724340241,0.00179153357638348,NA,NA,0.0397377806193231,0.325437050031887,0.0853620474406991
"73","015C","4.82664329721344",-0.00767383768293421,"0.99823",0.312758836937476,"0.0199407622409735","32.9718174712644","0.780076449142957",1.18322977971635e-07,15,"CC",0.35,103,4.6342,2.8172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.41,58.9,10.29,10.42,8.16,8.44,1.4,1.53,10.79,10.08,8.87,9.47,1.12,1.33,"35C","015C",10.395,8.735,0.00145029095870887,0.83,1591.124968125,0.00114195932839969,0.00177057117224414,NA,NA,0.0815856826943009,0.260858121526429,0.0798460798460799
"74","015D","3.48456692681088",-0.0102240049979421,"0.99905",0.572732825052208,"0.0099222543092122","40.7409188235294","0.236125084246685",1.57644032638807e-07,15,"CC",0.1,63,3.3277,2.1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,71.98,7.36,7.18,6.73,6.27,1.46,1.31,7.16,7.11,5.76,5.72,0.95,0.88,"45C","015D",7.2025,6.12,0.00125581632035517,0.54125,933.50873246875,0.00129650635061469,0.00226821659653932,NA,NA,0.125531122731565,0.219179200563757,0.0751475182228393
"75","015E","4.4040028071368",-0.0225112610309377,"0.99886",1.36622818076689,"0.00956907059790386","55.122915","0.125420598191462",3.47101353081904e-07,15,"CC",0.3,106,4.1566,2.5324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.21,64.52,9.27,8.73,7.32,8.19,0.83,0.97,9.41,8.97,7.94,7.48,1.36,0.97,"55C","015E",9.095,7.7325,0.00132034840337109,0.68125,1334.25787325,0.00121730591406874,0.00189798392857263,NA,NA,0.262886183825187,0.192417480129582,0.0749037932930182
"76","016A","5.56069114151064",-0.00589310647478754,"0.99428",0.0808797118036904,"0.0181446939514137","11.0596348210526","0.711712929226339",9.08658661299917e-08,16,"PE",0,56.5,5.4315,2.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.74,72.93,9.49,9.26,7.03,7.42,1.6,1.01,9.78,9.24,6.86,6.89,0.73,0.55,"10C","016A",9.4425,7.05,0.00159416961905797,1.19625,1625.62439995313,0.00177624056336953,0.00156493714050635,NA,NA,0.0569988695328959,0.704736308547221,0.126687847498014
"77","016B","3.99541756425376",-0.00651678105143941,"0.99955",0.126544820004415,"0.0065728789915972","23.9383462365591","0.26263557226165",1.00482310501595e-07,16,"PE",0,36,3.8003,1.8183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.07,66.21,7.85,8.28,5.96,6.42,1.49,1.32,8.82,7.67,1.69,6.01,1.34,0.76,"25C","016B",8.155,5.02,0.00112905965412739,1.5675,1100.8078738125,0.00180049584232679,0.0016517868769439,NA,NA,0.0889964583662799,0.703280137133823,0.192213366033109
"78","016C","4.55576896040284",-0.0107873049967572,"0.99879",0.306170674419168,"0.00488962200850941","32.2018025555556","0.155930987965839",1.66329560806734e-07,16,"PE",0,53,4.417,2.1804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.29,79.34,8.22,8.6,6.5,6.46,1.38,1.8,8,7.49,6.11,6.13,0.83,1.14,"35C","016C",8.0775,6.3,0.00152993198181351,0.88875,1294.15453396875,0.00172823255746829,0.00168480652253593,NA,NA,0.10871696440359,0.355086144712702,0.110027855153203
"79","016D","4.04781771603735",-0.0271800381745363,"0.99019",0.563954329317847,"0.0567982454326295","40.1154528409091","1.36450320369929",4.19089273330076e-07,16,"PE",0,43.5,3.9327,1.8555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,74.07,8.34,7.94,6.18,5.98,1.14,2.25,8.21,7.34,5.76,5.62,1.23,0.92,"45C","016D",7.9575,5.885,0.00128496009000436,1.03625,1172.56154723437,0.00177150615666983,0.0015824329259103,NA,NA,0.326149641992893,0.578326337856826,0.130223060006283
"80","016E","8.08597550622639",-0.0678310181150701,"0.99944",1.38471889280534,"0.0069975783721325","55.1190473684211","0.0939698298727618",1.04588712894878e-06,16,"PE",0.1,61,7.9137,4.1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,90.48,10.05,10.12,8.19,7.98,1.23,1.41,9.91,10.02,8.02,8.09,1.62,1.2,"55C","016E",10.025,8.07,0.0021195775855056,0.9775,2273.3241375,0.00164925887081072,0.00183185491734568,NA,NA,0.493441304579232,0.356347636435837,0.0975062344139651
"81","017A","6.44199911609491",-0.00406478408236927,"0.99093",0.0845963509944724,"0.0206192946755771","11.1987871129032","0.574634853558019",6.26749453545557e-08,17,"PE",0,93,6.2997,3.0469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.25,72.75,10.78,9.69,7.98,9.33,1.08,0.77,10.88,10.24,8.77,8.5,1.84,1.74,"10C","017A",10.3975,8.645,0.00173939578703602,0.876250000000001,1966.21436367188,0.00165434657588679,0.00154962757687822,NA,NA,0.0360325958138347,0.425935579847753,0.0842750661216639
"82","017B","5.13239284861651",-0.00423624466700243,"0.99933",0.110395678215363,"0.0067453929110705","23.7233776859504","0.170660590787486",6.53186977789353e-08,17,"PE",0,64,4.9996,2.4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8,74.38,9,8.76,7.07,7.2,1.78,1.29,8.63,9.33,7.63,7.13,1.69,1.51,"25C","017B",8.93,7.2575,0.00159349119212443,0.83625,1482.8564155,0.00170367135590007,0.00166792952719299,NA,NA,0.0409909374471364,0.371309258748065,0.0936450167973124
"83","017C","8.25728404579134",-0.017331946115818,"0.99276",0.332651496356004,"0.0171237160055749","33.60613968","0.515055513434476",2.67241445962323e-07,17,"PE",0,72,7.9342,3.7603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.59,88.27,10.6,10.82,9.08,8.88,2.4,1.84,10.56,10.59,7.33,7.62,1.34,1.67,"35C","017C",10.6425,8.2275,0.0023601342829994,1.2075,2499.42697692188,0.00166994276629769,0.00150446483722878,NA,NA,0.11323145800954,0.340390646817833,0.113460183227625
"84","017D","3.73112807061606",-0.0167871957194025,"0.99656",0.589511194227346,"0.0803417977972437","41.0738808403361","1.7234831392008",2.58841934294457e-07,17,"PE",0,49,3.5668,1.7377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.19,76.88,7.93,7.41,6.11,6.16,1.82,1.69,7.05,7.15,5.55,5.61,1.88,1.85,"45C","017D",7.385,5.8575,0.00151245113927132,0.76375,1048.2246845,0.00174495032128773,0.00165775527489021,NA,NA,0.171140691803878,0.290309486027973,0.103419092755586
"85","017E","6.68841684126577",-0.0653858039357199,"0.99979",1.0595870947003,"0.540639709354209","47.5881543220339","13.1320380588035",1.00818434770249e-06,17,"PE",0,62,6.4197,3.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.42,85.53,9.27,9.46,8.04,8.25,1.52,1.84,9.34,8.92,7.6,7.67,1.61,1.32,"55C","017E",9.2475,7.89,0.00192962574101564,0.67875,1828.55134926563,0.00183817643477713,0.00167263555449419,NA,NA,0.522476626566893,0.493094554643169,0.0733982157339822
"86","018A","5.34150311121114",-0.00392290282497301,"0.99156",0.0864634758626983,"0.0199877210885346","10.830192516129","0.506800530296354",6.04872768649263e-08,18,"PE",0,70,5.0871,2.6189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.78,84.69,8.03,8.88,6.92,6.93,1.64,1.74,7.77,8.06,6.58,5.72,1.26,1.15,"10C","018A",8.185,6.5375,0.00171717663737406,0.82375,1418.4352288125,0.00174008650508938,0.00184633034121164,NA,NA,0.0352248426565043,0.407395635036006,0.100641417226634
"87","018B","5.30678074498432",-0.00782481461052877,"0.99248",0.122266354187841,"0.00610457450038697","24.5312351648352","0.238504690554214",1.20650892688638e-07,18,"PE",0,66,5.1429,2.5407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.13,91.52,8.62,8.39,7.11,6.95,1.42,1.44,7.68,7.78,6.29,6.4,1.03,1.33,"25C","018B",8.1175,6.6875,0.00194145799996667,0.715,1507.650287,0.00172599708462762,0.00168520513139398,NA,NA,0.0621444773416214,0.508271288159515,0.0880813058207576
"88","018C","6.03769659013164",-0.0104723634586616,"0.99258",0.311114797580335,"0.020961919719379","32.9019463736264","0.829962173010201",1.614734741635e-07,18,"PE",0,44,5.9542,3.0814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.01,90.14,8.73,8.26,6.12,6.29,1.75,1.93,8.61,8.38,6.83,7.03,1.94,2.21,"35C","018C",8.495,6.5675,0.00197516626812207,0.96375,1626.238838375,0.00176653018745427,0.00189480162894096,NA,NA,0.0817518387031913,0.262770653594777,0.113449087698646
"89","018D","6.52326912517703",-0.0336300686349276,"0.99125",0.573237704471778,"0.0102472927649759","40.7529625","0.244106821135159",5.18542355818191e-07,18,"PE",0,54,6.3888,3.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.26,82.34,10.15,8.95,7.58,7.52,1.22,1.19,9.87,9.03,6.82,7.94,1.2,1.36,"45C","018D",9.5,7.465,0.00188800293702786,1.0175,1857.79625,0.0017730684944595,0.0016658446802226,NA,NA,0.274651244258387,0.479122782949999,0.107105263157895
"90","018E","6.5389661867972",-0.0782800769731746,"0.99858",1.36704398126598,"0.0117879415973178","55.1233823076923","0.157043059368208",1.20700126924932e-06,18,"PE",0,59,6.4218,3.1791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.42,99.48,8.65,8.63,7.04,7.04,1.31,1.27,8.25,8.29,6.74,7.09,1.13,1.14,"55C","018E",8.455,6.9775,0.0021361293805603,0.73875,1777.88231175,0.00182391150334813,0.00178813860680731,NA,NA,0.565041275230588,0.41333072159633,0.0873743347131875
"91","019A","5.58675003859926",-0.00414485974652684,"0.98988",0.0825639719622579,"0.0174341497196615","10.6228009139785","1.18725510353457",6.39096328000891e-08,19,"PE",0,72,5.4003,2.4265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.98,79.9,9.48,9.12,6.93,7.39,1.61,1.81,9.37,9.02,7.48,6.95,1.62,2.19,"10C","019A",9.2475,7.1875,0.00191684291466745,1.03,1708.18721859375,0.00174090987663996,0.00142051174109451,NA,NA,0.0333410903476025,0.40382129826365,0.111381454447148
"92","019B","3.55763035098828",-0.00359304772485121,"0.99821",0.110935990855462,"0.00815764815439867","23.3002022222222","0.315281873520009",5.54012378635619e-08,19,"PE",0,58,3.4063,1.5651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.94,72.82,7.18,7.7,5.87,5.51,1.16,0.97,7.49,7.54,5.23,5.58,0.52,0.68,"25C","019B",7.4775,5.5475,0.00143155732755625,0.965,1017.89627878125,0.00180882869736444,0.00153758298622914,NA,NA,0.0386999785458366,0.34884962262841,0.12905382815112
"93","019C","4.17533534475765",-0.00810500252682499,"0.99585",0.32033526341452,"0.0263289491665098","32.8588032967033","1.09249953307598",1.24971112898868e-07,19,"PE",0,64,3.9882,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.72,77.7,8.08,7.61,6.27,5.92,1.08,0.69,8.17,7.92,6.4,6.43,1.12,1.31,"35C","019C",7.945,6.255,0.00151556838458185,0.845,1226.164760625,0.00178132667822444,0.00147125415599162,NA,NA,0.0824582474603071,0.257412332883266,0.106356198867212
"94","019D","4.17469052595963",-0.0347167234431054,"0.99236",0.64311105837143,"0.0875404442833638","42.1385629213483","1.94370123467106",5.35297496888835e-07,19,"PE",0,60,3.9918,1.9674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.51,73.44,8.39,8.22,6.63,6.56,1.1,0.82,7.67,7.94,6.03,6.84,0.65,0.55,"45C","019D",8.055,6.515,0.00153123754918053,0.77,1191.252339,0.00169938805887205,0.00165153925460624,NA,NA,0.349584881310748,0.543583999622107,0.095592799503414
"95","019E","4.65053471309276",-0.0552842268453979,"0.99988",1.38358389577919,"0.0132349610034022","55.2289715384615","0.115029337291001",8.52428032163652e-07,19,"PE",0,60,4.3786,2.0616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.27,65.75,7.85,8.71,6.19,7.3,1.01,1.41,9.08,8.32,7.8,6.27,0.8,0.79,"55C","019E",8.49,6.89,0.00136747967591767,0.8,1184.81664375,0.00195557684998971,0.00174001606989157,NA,NA,0.623357002795392,0.450537914395381,0.0942285041224971
