,segment,int,slope,R2,Tac,Tac_sd,RH,RH_sd,mols_per_sec,TreeID,sp,lichen,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2,treatment,sampleID,diam,wood_diam,sa,bark_thickness,vol,water_content,density,lenticel_size,LD,bark_thickness_ratio,E,deltaT,Tsc,wi,w0,deltaw,gbark,gbark_org,deltags%
47,022B,2.785837195,-0.00838603,0.99985,24.5395697,0.230972275,59.75925687,1.464818276,1.29E-07,22,LS,0,76,2.6208,1.3706,26.93,21,1.02,1.18,1.03,1.02,1.12,1.41,1.13,1.07,1,1.24,42.66,55.08,8.04,7.97,6.92,6.85,1.68,1.51,8.04,7.9,6.71,6.83,1.42,1.23,25C,022B,7.9875,6.8275,0.001070487,0.58,878.5281516,0.001423062,0.001560109,1.122,0.097627478,0.072613459,0.120790086,0.021496067,24.51807363,0.030404933,0.018193143,0.01221179,9.891268053,9.827352838,0.65038079
48,023B,5.147737996,-0.011353331,0.99507,23.89764188,0.248345145,57.22183513,1.638450553,1.75E-07,23,MG,0.02,46,4.8368,2.5406,34.01,24,1.55,1.47,1.14,0.99,1.14,1.31,1.08,1.12,1.55,0.92,51.43,71.92,10.26,11.11,9.26,8.45,2.24,1.36,9.4,9.12,7.82,7.42,2.42,2.41,25C,023B,9.9725,8.2375,0.001611278,0.8675,1788.124597,0.001284139,0.001420818,1.227,0.070762076,0.08698922,0.108644902,0.021603975,23.87603791,0.029256388,0.0167628,0.012493589,8.696052377,8.640418222,0.643882664
49,024B,2.893532277,-0.006948548,0.99953,23.93427813,0.2594696,56.89803688,1.626865793,1.07E-07,24,LS,0.75,75,2.7463,1.2851,28.09,15,1.51,0.85,0.76,0.51,0.89,0.86,0.74,0.98,0.76,0.47,58.7,79.39,6.55,6.85,5.94,5.75,1.97,1.53,6.72,6.43,5.37,5.61,1.94,1.4,25C,024B,6.6375,5.6675,0.001224031,0.485,874.409523,0.001671071,0.001469677,0.833,0.080451656,0.07306968,0.087530222,0.014199812,23.92007831,0.029333945,0.016704689,0.012629256,6.93075031,6.893640258,0.538323014
50,025B,2.062834271,-0.004229784,0.99863,23.26503125,0.334639673,60.48651969,2.509011707,6.52E-08,25,LS,0,53,1.9517,1.0021,41.99,28,1.23,1.26,1.2,1.9,1.25,1.35,1.22,1,1.12,1.28,33.18,41.99,8.24,8.3,6.43,6.67,1.72,1.94,8.31,8.13,6.96,6.88,2.51,1.69,25C,025B,8.245,6.735,0.000859443,0.755,713.6203124,0.00133068,0.001404248,1.281,0.080876341,0.091570649,0.075885313,0.013720671,23.25131058,0.028175347,0.017056418,0.011118929,6.824876039,6.787811549,0.546044771
51,001C,3.770133874,-0.004670229,0.99918,32.19708546,0.143225809,35.62778056,0.685883122,7.20E-08,1,CC,0.7,99.8,3.2246,2.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.28,61.59,8.06,8.48,7.19,6.78,1.69,1.63,7.92,8.14,6.6,6.59,1.08,0.79,35C,001C,8.15,6.79,0.001005724,0.68,1022.740444,0.000964956,0.002187945,NA,NA,0.083435583,0.071600438,0.012757125,32.18432834,0.047475951,0.016926817,0.030549134,2.343779608,2.333907204,0.422998994
52,002C,3.959110572,-0.007027632,0.99908,33.94501488,0.955155308,33.70733,1.638123149,1.08E-07,2,CC,0.2,135,3.6661,2.2152,55.86,1,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,55.86,9.09,9.08,7.67,8.28,0.96,1,9.58,8.85,7.67,8.22,1.54,1.47,35C,002C,9.15,7.96,0.000957228,0.595,1169.184713,0.00124095,0.001894654,0.86,0.001956492,0.065027322,0.113201002,0.02137072,33.92364415,0.052342598,0.017664322,0.034678276,3.264320356,3.240503689,0.734968057
53,003C,7.519578182,-0.012654942,0.99922,33.05233827,0.998766858,35.19220111,1.838221897,1.95E-07,3,CC,0.25,125,7.3053,4.4703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.46,93.71,11.38,10.81,9.27,10.11,1.89,2.28,9.87,10.47,8.35,8.47,1.49,1.94,35C,003C,10.6325,9.05,0.002520589,0.79125,2648.480193,0.001070425,0.001687874,NA,NA,0.074418058,0.077413118,0.015753991,33.03658428,0.049809123,0.017544428,0.032264694,2.399313552,2.382308279,0.713814965
54,004C,3.478866474,-0.010589635,0.99882,33.90519386,0.970364824,33.74293735,1.620454886,1.63E-07,4,LS,0.3,41,3.2507,1.5206,66.46,10,1.61,0.99,0.67,0.98,1.48,1.09,0.52,0.85,1.2,0.35,48.13,66.46,7.88,8.45,6.21,6.25,2.24,2.91,7.53,6.96,5.76,5.87,1.42,2.15,35C,004C,7.705,6.0225,0.001165033,0.84125,986.3831204,0.001753984,0.001541592,0.974,0.019528416,0.109182349,0.140151931,0.024279724,33.88091413,0.052218047,0.017643772,0.034574274,4.053647807,4.022922878,0.763746409
55,005C,3.439055517,-0.014228472,0.98977,33.19117333,0.902589026,35.11736387,1.888557614,2.19E-07,5,MG,0,57,3.2831,1.809,36.15,11,0.79,0.9,0.83,0.72,0.64,0.86,0.45,0.9,0.62,1.11,68.7,84.88,7.5,7.44,6.17,5.34,2.6,2.71,7.47,7.44,6.01,6.03,3.09,2.48,35C,005C,7.4625,5.8875,0.001610612,0.7875,1181.718591,0.001247421,0.001530821,0.782,0.04077557,0.105527638,0.13621464,0.02322332,33.16795001,0.050177461,0.017643955,0.032533506,4.186903185,4.155659898,0.751824927
56,006C,3.63859266,-0.011335587,0.99848,32.80954144,0.887026705,37.19915258,1.431712917,1.75E-07,6,MG,0,40,3.4425,1.8523,41.29,26,1.03,0.97,1.38,0.9,1.2,1.25,1.8,1.18,0.93,1.27,57.25,71.93,8.04,8.38,6.9,6.78,2.2,3.73,8.47,8.1,6.85,7.3,2.81,3.46,35C,006C,8.2475,6.9575,0.001483364,0.645,1223.192241,0.001300041,0.001514316,1.191,0.07634949,0.078205517,0.117829169,0.02111895,32.78842249,0.049119696,0.018293815,0.030825881,3.822410444,3.795392812,0.71185338
57,007C,5.31700296,-0.011903099,0.99502,32.20041402,0.146642737,35.57316863,0.666112503,1.84E-07,7,TD,0,117,5.1752,2.5046,62.54,13,1.31,1.4,1.52,1.63,2.03,1.6,1.94,1.81,1.08,1.66,43.83,62.54,10.49,11.08,8.63,8.13,0.82,1.27,9.61,10.27,8.94,8.38,0.98,0.77,35C,007C,10.3625,8.52,0.001426875,0.92125,1678.908287,0.001590677,0.001491803,1.598,0.020059538,0.088902292,0.128626559,0.025841711,32.17457231,0.047449801,0.016904047,0.030545754,4.210947216,4.188402599,0.538262893
58,008C,5.087202395,-0.01663812,0.99753,33.6623727,0.466331761,35.21606583,1.575097381,2.57E-07,8,MG,0,42,4.9416,2.4917,31.74,16,1.03,1.29,1.39,1.1,1.32,1.45,1.3,1.26,1.49,1.09,56.23,72.41,10.34,9.65,7.49,7.68,2.93,3.11,9.8,9.85,8.28,7.92,2.94,3.05,35C,008C,9.91,7.8425,0.001750619,1.03375,1777.81213,0.001378042,0.001401554,1.272,0.050867384,0.104313824,0.146544366,0.0287915,33.6335812,0.051502148,0.018166223,0.033335925,4.3959892,4.367456864,0.653294054
59,009C,1.380619275,-0.008524297,0.99847,33.74141118,0.435354854,34.94025167,1.455548639,1.31E-07,9,TD,0.2,63,1.236,0.5515,39.02,3,1.5,1.53,1.62,NA,NA,NA,NA,NA,NA,NA,27.65,39.02,6.35,6.18,4.98,4.54,0.78,0.76,6.5,6.04,5.23,4.68,1.24,1.33,35C,009C,6.2675,4.8575,0.000544427,0.705,383.1915812,0.001786313,0.001439228,1.55,0.012267036,0.112485042,0.241421355,0.037720826,33.70369035,0.051704207,0.018103664,0.033600543,7.18504325,7.133917288,0.716660426
60,010C,1.65422389,-0.00580216,0.99805,32.68141087,0.993003806,37.3456165,1.49364539,8.95E-08,10,TD,0.08,58,1.4469,0.75,54.13,11,2.41,1.68,1.63,1.58,1.81,1.38,1.02,1.58,1.24,1.62,36.96,54.13,6.43,6.64,5.17,5.21,1.46,1.85,6.25,6.27,5.48,5.36,1.27,1.28,35C,010C,6.3975,5.305,0.000742835,0.54625,553.8582446,0.001258264,0.001354137,1.595,0.031764671,0.085384916,0.120435365,0.01901155,32.66239932,0.048772769,0.018233986,0.030538783,3.943685793,3.914776627,0.738462721
61,011C,2.831807768,-0.005292444,0.99714,33.57036946,1.42307348,34.16802826,2.113314228,8.16E-08,11,TD,0,80,2.5886,1.1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.79,60.05,7.57,7.68,6.69,4.97,1.01,0.81,7.93,7.33,6.04,6.85,0.56,0.76,35C,011C,7.6275,6.1375,0.000929505,0.745,873.4085782,0.001685236,0.001278554,NA,NA,0.097672894,0.087793209,0.015132489,33.55523697,0.051277165,0.017535222,0.033741943,2.601901371,2.577682187,0.939572152
62,012C,4.583204943,-0.018883995,0.99841,32.95128256,1.051781334,35.17828244,1.785553113,2.91E-07,12,TD,0,69,4.4369,2.0265,73.66,6,1.16,0.85,0.68,0.73,0.65,1.05,NA,NA,NA,NA,62.21,73.66,9.36,9.6,7.89,7.93,1.69,1.54,8.68,8.56,7.41,7.45,1.04,1.22,35C,012C,9.05,7.67,0.001768718,0.69,1508.234538,0.00159816,0.001343624,0.853333333,0.00900059,0.076243094,0.164623454,0.030908245,32.92037431,0.049485238,0.017438298,0.03204694,5.136947618,5.093551535,0.851980837
63,013C,4.338473246,-0.009160846,0.99722,33.41999156,1.571800829,34.35126458,2.254691959,1.41E-07,13,MG,0,55,4.1473,2.0758,29.63,19,1,1.01,0.73,0.78,0.95,0.72,0.62,0.8,0.78,0.78,57.01,72.15,9.08,9.81,7.72,7.65,1.07,1.37,9.61,8.87,6.87,7.88,1.34,0.93,35C,013C,9.3425,7.53,0.001673262,0.90625,1574.354599,0.001315777,0.001318509,0.817,0.068637087,0.097002944,0.084416637,0.016103413,33.40388815,0.050844946,0.017481628,0.033363318,2.530223048,2.503887256,1.05179624
64,014C,2.399357943,-0.005687479,0.99625,33.68701116,0.458612432,35.12703545,1.557518112,8.77E-08,14,CC,0.15,101,2.1787,1.3572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.02,37.5,9.19,9.7,8.13,8.52,0.86,0.87,8.38,8.7,7.66,7.91,1.39,1.3,35C,014C,8.9925,8.055,0.000791587,0.46875,758.1099023,0.001083616,0.001790242,NA,NA,0.052126772,0.110784204,0.020733681,33.66627748,0.051596296,0.018145248,0.033451048,3.311830587,3.292726379,0.580194216
65,015C,4.826643297,-0.007673838,0.99823,32.97181747,0.780076449,36.99297931,1.354104079,1.18E-07,15,CC,0.35,103,4.6342,2.8172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.41,58.9,10.29,10.42,8.16,8.44,1.4,1.53,10.79,10.08,8.87,9.47,1.12,1.33,35C,015C,10.395,8.735,0.001450291,0.83,1591.124968,0.001141959,0.001770571,NA,NA,0.07984608,0.081585683,0.01641665,32.95540082,0.049582666,0.018359019,0.031223647,2.612945323,2.59668914,0.626035005
66,016C,4.55576896,-0.010787305,0.99879,32.20180256,0.155930988,35.48283667,0.657571728,1.66E-07,16,PE,0,53,4.417,2.1804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.29,79.34,8.22,8.6,6.5,6.46,1.38,1.8,8,7.49,6.11,6.13,0.83,1.14,35C,016C,8.0775,6.3,0.001529932,0.88875,1294.154534,0.001728233,0.001684807,NA,NA,0.110027855,0.108716964,0.019283868,32.18251869,0.0474711,0.016862444,0.030608655,3.551837332,3.534837422,0.480924806
67,017C,8.257284046,-0.017331946,0.99276,33.60613968,0.515055513,35.27887976,1.563759663,2.67E-07,17,PE,0,72,7.9342,3.7603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.59,88.27,10.6,10.82,9.08,8.88,2.4,1.84,10.56,10.59,7.33,7.62,1.34,1.67,35C,017C,10.6425,8.2275,0.002360134,1.2075,2499.426977,0.001669943,0.001504465,NA,NA,0.113460183,0.113231458,0.023054052,33.58308563,0.051357041,0.018141545,0.033215496,3.408994989,3.388269619,0.611680071
68,018C,6.03769659,-0.010472363,0.99258,32.90194637,0.829962173,37.09064615,1.400674423,1.61E-07,18,PE,0,44,5.9542,3.0814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.01,90.14,8.73,8.26,6.12,6.29,1.75,1.93,8.61,8.38,6.83,7.03,1.94,2.21,35C,018C,8.495,6.5675,0.001975166,0.96375,1626.238838,0.00176653,0.001894802,NA,NA,0.113449088,0.081751839,0.014870911,32.88707546,0.049392769,0.018335407,0.031057362,2.632285328,2.615736063,0.632680997
69,019C,4.175335345,-0.008105003,0.99585,32.8588033,1.092499533,35.12115923,1.752265953,1.25E-07,19,PE,0,64,3.9882,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.72,77.7,8.08,7.61,6.27,5.92,1.08,0.69,8.17,7.92,6.4,6.43,1.12,1.31,35C,019C,7.945,6.255,0.001515568,0.845,1226.164761,0.001781327,0.001471254,NA,NA,0.106356199,0.082458247,0.014505723,32.84429757,0.049274198,0.017319781,0.031954417,2.580496053,2.56239409,0.706447266
70,020C,2.793754643,-0.008651592,0.99831,33.33573874,1.569903414,34.34212913,2.229060135,1.33E-07,20,PE,0,80,2.6015,1.1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.99,58.55,7.83,8.01,6.23,5.86,1.19,1.11,6.95,6.81,5.39,5.44,0.86,0.7,35C,020C,7.4,5.73,0.001045918,0.835,801.5495,0.001794524,0.001451064,NA,NA,0.112837838,0.127542501,0.021653551,33.31408519,0.050589985,0.017394755,0.033195229,3.842193692,3.800706729,1.091559175
71,021C,2.790188929,-0.014846369,0.99944,33.79845667,0.397123677,34.74499448,1.341801292,2.29E-07,21,LS,0,43,2.5934,1.2314,48,29,1.31,0.88,1.25,1.49,1.45,1.41,1.07,1.32,1.04,1.7,32.64,48,8.24,9.02,6.95,7.59,1.67,1.1,8.54,8.49,7.22,7,1.12,1.72,35C,021C,8.5725,7.19,0.000879038,0.69125,881.853075,0.001544475,0.001396378,1.292,0.070477301,0.080635754,0.260416937,0.047586232,33.75087043,0.05184057,0.0180599,0.03378067,7.70905182,7.648801274,0.787712268
72,022C,1.836362844,-0.008419629,0.99753,32.75991131,0.930405938,37.26105253,1.461442914,1.30E-07,22,LS,0,46,1.7039,0.8592,25.83,33,0.75,0.65,0.88,0.82,0.85,0.75,0.39,0.54,0.96,0.37,43.87,59.51,6.34,6.16,5.69,5.26,0.84,1.01,5.84,5.74,5,4.94,1.17,0.77,35C,022C,6.02,5.2225,0.000829686,0.39875,539.166551,0.001566677,0.001593571,0.696,0.21222329,0.066237542,0.156471577,0.023960289,32.73595102,0.048974989,0.018273201,0.030701788,5.096497178,5.058247181,0.756190744
73,023C,4.408894524,-0.010854124,0.99614,32.18482983,0.147805983,35.7136287,0.747245974,1.67E-07,23,MG,0,48.5,4.2382,2.2441,31.11,22,1.5,1.23,1.11,1.48,0.88,1.42,1.08,1.3,1.43,1.29,60.41,81.35,8.39,8.77,7.33,6.83,2.15,1.89,8.06,8.34,6.74,7.06,1.35,1.61,35C,023C,8.39,6.99,0.001592285,0.7,1431.599334,0.001392918,0.001567548,1.272,0.084287022,0.083432658,0.105106749,0.019000714,32.16582911,0.047426377,0.016955865,0.030470512,3.449457893,3.432989938,0.479697153
74,024C,3.77215022,-0.00869741,0.99987,32.20098097,0.153552466,35.50587312,0.659270534,1.34E-07,24,LS,0.7,55,3.5248,1.6774,24.73,14,1.19,0.9,1.14,1.7,1.35,0.79,0.93,1.04,0.78,0.5,41.38,63.25,8.8,9.15,7.18,7.19,2.22,1.64,7.93,8.21,6.84,6.2,2.03,2.53,35C,024C,8.5225,6.8525,0.001107917,0.835,1148.509411,0.00160852,0.001460502,1.032,0.066425818,0.097975946,0.121042823,0.022053671,32.1789273,0.047461473,0.016872609,0.030588864,3.957087935,3.937196744,0.505212015
75,025C,2.500471367,-0.006292405,0.99947,32.72834848,1.136532795,34.96434838,1.763870735,9.70E-08,25,LS,0.3,60,2.3159,1.1518,45.7,44,1.22,1.41,1.4,1.09,1.13,0.83,1.01,1.03,0.87,0.93,33.74,45.7,8.29,8.61,6.78,7.07,1.64,1.62,8.33,8.08,7.07,6.91,1.82,1.71,35C,025C,8.3275,6.9575,0.000882693,0.685,792.2924027,0.001469281,0.001453756,1.092,0.115617037,0.08225758,0.10991667,0.019796081,32.7085524,0.048899575,0.017116466,0.03178311,3.458335947,3.433014427,0.737588511
76,001D,4.215608033,-0.009030987,0.99412,40.27912343,1.307428785,23.25074667,1.370624294,1.39E-07,1,CC,0.65,83,3.8784,2.4566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.99,93.55,7.21,7.5,5.85,5.94,1.34,1.08,7.14,6.87,5.76,6.1,0.66,0.8,45C,001D,7.18,5.9125,0.001127606,0.63375,1205.681755,0.00117925,0.002037519,NA,NA,0.088266017,0.123490696,0.020495487,40.25862794,0.073909598,0.017203284,0.056706315,2.177723896,2.159282524,0.854050908
77,002D,4.900479129,-0.010453238,0.99974,39.63106141,0.615192262,25.47672821,0.99649485,1.61E-07,2,CC,0.15,149,4.6887,2.8855,54.52,3,0.94,1.01,0.61,NA,NA,NA,NA,NA,NA,NA,38.53,54.52,11.01,10.52,10.17,9.11,1.14,1.53,11.17,10.64,9.74,8.95,1.62,1.25,45C,002D,10.835,9.4925,0.001311529,0.67125,1600.124177,0.001126913,0.001803298,0.853333333,0.005078512,0.061952007,0.122893677,0.025055656,39.60600575,0.071381096,0.018209943,0.053171152,2.311284815,2.296707704,0.63469596
78,003D,2.69114925,-0.020221967,0.99434,42.25331,2.033039868,21.66403038,1.803507514,3.12E-07,3,CC,0,115,2.4959,1.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.15,58.69,7.56,8.26,5.9,6.89,1.69,1.95,7,7.33,6.25,5.95,0.87,1.01,45C,003D,7.5375,6.2475,0.001045461,0.645,833.6020395,0.001330971,0.001663144,NA,NA,0.085572139,0.298244171,0.050716282,42.20259372,0.081904793,0.017791148,0.064113645,4.651804971,4.582794193,1.505866838
79,004D,3.38667379,-0.013431354,0.9997,39.7085284,0.723654603,25.35952469,1.148664579,2.07E-07,4,LS,0.15,79,3.1687,1.6497,60.26,11,1.16,1.46,0.92,1.06,1.34,1.2,1.06,1.63,0.87,0.95,45.9,60.26,8.53,8.45,6.79,7.07,1.98,1.78,8.39,8.28,6.83,7.11,1.1,1.41,45C,004D,8.4125,6.95,0.001213075,0.73125,1066.152404,0.001424749,0.00154734,1.165,0.021698938,0.08692422,0.170721662,0.030669942,39.67785845,0.071655769,0.018201365,0.053454404,3.193781053,3.17126612,0.709966687
80,005D,6.191381315,-0.041624104,0.9953,42.35057333,2.1036816,21.57992917,1.865289021,6.42E-07,5,MG,0,56,6.0984,3.1461,40.56,23,1,1.25,0.78,1.26,0.89,0.74,0.98,0.95,0.8,1.34,82.46,93.87,9.52,10.12,7.66,7.58,3.98,3.99,9.56,9.19,7.99,7.42,4.14,3.92,45C,005D,9.5975,7.6625,0.002486287,0.9675,2161.638507,0.00136577,0.001455424,0.999,0.059084256,0.100807502,0.258136878,0.049532574,42.30104076,0.082328788,0.017812685,0.064516104,4.001123188,3.9401329,1.54792464
81,006D,4.527847225,-0.023657696,0.999,40.78096129,0.273026096,24.31802258,0.483271202,3.65E-07,6,MG,0,37,4.3183,2.3516,28.44,20,1.12,1.24,1.04,1.13,1.22,1.62,1.14,0.76,1.19,0.94,57.55,71.18,9.54,9.11,7.91,7.96,3.39,2.57,9.15,8.92,7.7,7.38,3.57,3.68,45C,006D,9.18,7.7375,0.001659732,0.72125,1499.627358,0.001311459,0.001568123,1.14,0.076605107,0.078567538,0.219781458,0.041245272,40.73971602,0.075822676,0.01847894,0.057343737,3.832702082,3.806656375,0.684214818
82,007D,1.690141217,-0.016539762,0.99683,40.22314606,1.325909781,23.26558889,1.410412093,2.55E-07,7,TD,0.3,67,1.6851,0.7877,57.24,4,1.72,1.17,0.67,0.35,NA,NA,NA,NA,NA,NA,39.63,57.24,6.1,6.3,5.1,5.08,0.89,1.05,5.84,5.53,4.61,4.55,1.29,1.34,45C,007D,5.9425,4.835,0.000739849,0.55375,505.3334124,0.001775857,0.001558773,0.9775,0.011759563,0.093184687,0.344701042,0.052046194,40.17109987,0.073566055,0.017163064,0.056402992,6.11139643,6.045598994,1.088352636
83,008D,4.331982783,-0.042198563,0.99127,41.06609124,1.767950899,23.92221593,1.641485836,6.51E-07,8,MG,0.03,49,4.1584,2.0875,20.3,9,0.86,1.21,1.39,0.78,1.36,1.06,0.96,1.72,1.35,0.71,65.41,84.32,7.74,7.8,5.89,6.09,2.14,2.85,7.87,7.63,6.36,6.02,1.85,2.18,45C,008D,7.76,6.09,0.001594615,0.835,1269.387008,0.001631417,0.001644495,1.14,0.0571327,0.107603093,0.408035927,0.070402981,40.99568826,0.076857874,0.018454728,0.058403146,6.986540162,6.882390106,1.51328324
84,009D,1.834361712,-0.020906808,0.99814,41.05773772,1.8691515,23.80454752,1.696794636,3.22E-07,9,TD,0.05,60,1.7315,0.8686,31.14,6,1.45,1.24,1.73,1.13,1.83,1.05,1.78,1.38,0.79,1.17,63.26,72.6,5.57,5.34,4,4.72,0.83,0.57,5.35,5.65,4.84,4.28,0.94,0.64,45C,009D,5.4775,4.46,0.001088583,0.50875,544.5545634,0.001584598,0.001595065,1.355,0.035176308,0.092879963,0.296130247,0.042927515,41.01481021,0.076935694,0.018355839,0.058579854,5.055155049,4.985700324,1.393078615
85,010D,2.027359548,-0.014672293,0.9922,40.80432525,0.28740737,24.27670404,0.500810078,2.26E-07,10,TD,0.3,67,1.8139,0.9762,63.81,1,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.51,63.81,7.35,6.55,6.29,5.45,1.06,0.85,6.76,5.84,5.45,4.56,0.68,0.61,45C,010D,6.625,5.4375,0.000801511,0.59375,700.1651953,0.001196432,0.001394242,2.07,0.002365513,0.089622642,0.282257316,0.044998696,40.75932656,0.075901557,0.018470402,0.057431155,4.91470731,4.879928278,0.712695557
86,011D,2.984717331,-0.01055457,0.99868,39.87834944,0.881706207,25.08938427,1.397185146,1.63E-07,11,TD,0.4,82,2.7552,1.3883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.87,68.1,7.85,8.01,7.11,7.02,0.45,0.57,8.02,7.72,6.31,6.64,0.66,0.84,45C,011D,7.9,6.77,0.00128734,0.565,1062.53025,0.001286457,0.001306598,NA,NA,0.071518987,0.126416511,0.022007927,39.85634151,0.072342014,0.018171494,0.05417052,2.333677274,2.317248704,0.708968786
87,012D,1.968092444,-0.015444968,0.99561,42.21597305,2.005177568,21.67527073,1.77256091,2.38E-07,12,TD,0,49,1.8119,0.8237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.19,49.94,7.05,7.36,6.15,6.17,0.63,0.48,7.15,7.29,6.2,6.02,1.23,1,45C,012D,7.2125,6.135,0.000706726,0.53875,649.4716508,0.001521544,0.001268262,NA,NA,0.074696707,0.336970922,0.056052776,42.15992027,0.081721591,0.017765551,0.06395604,5.268789683,5.189847458,1.521089505
88,013D,4.403889694,-0.00918491,0.99703,39.95695484,0.940719805,24.95943441,1.499957383,1.42E-07,13,MG,0,48,4.1755,2.1193,38.93,29,0.8,0.95,0.96,0.69,0.87,1.03,0.78,0.93,1.04,0.56,62.37,77.65,9.35,8.75,7.47,6.87,4.02,4.39,8.85,8.88,7.2,7.18,3.85,3.33,45C,013D,8.9575,7.18,0.001755143,0.88875,1557.597001,0.00132011,0.001360622,0.861,0.083162355,0.099218532,0.08068986,0.014958022,39.94199682,0.072673358,0.018153335,0.054520023,1.480004147,1.469935753,0.684954698
89,014D,5.221668837,-0.023866428,0.99232,41.06259642,1.799776169,23.88680917,1.660450695,3.68E-07,14,CC,0.08,71,4.9989,2.8308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.69,78.79,8.13,8.06,7.5,7.25,1.17,1.21,8.28,7.79,6.86,7.19,1.11,0.92,45C,014D,8.065,7.2,0.001715058,0.4325,1281.208622,0.00169223,0.002209476,NA,NA,0.053626782,0.214568093,0.037742365,41.02485406,0.076976596,0.018424007,0.058552589,3.664536369,3.617307696,1.305630512
90,015D,3.484566927,-0.010224005,0.99905,40.74091882,0.236125084,24.36745412,0.462646282,1.58E-07,15,CC,0.1,63,3.3277,2.1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5,71.98,7.36,7.18,6.73,6.27,1.46,1.31,7.16,7.11,5.76,5.72,0.95,0.88,45C,015D,7.2025,6.12,0.001255816,0.54125,933.5087325,0.001296506,0.002268217,NA,NA,0.075147518,0.125531123,0.020866751,40.72005207,0.075743652,0.018477234,0.057266418,2.192054745,2.180362904,0.536233715
91,016D,4.047817716,-0.027180038,0.99019,40.11545284,1.364503204,23.28993182,1.487000179,4.19E-07,16,PE,0,43.5,3.9327,1.8555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,74.07,8.34,7.94,6.18,5.98,1.14,2.25,8.21,7.34,5.76,5.62,1.23,0.92,45C,016D,7.9575,5.885,0.00128496,1.03625,1172.561547,0.001771506,0.001582433,NA,NA,0.13022306,0.326149642,0.056985848,40.05846699,0.073126007,0.017082783,0.056043223,5.819608903,5.753376438,1.151192968
92,017D,3.731128071,-0.016787196,0.99656,41.07388084,1.723483139,23.95770588,1.607755795,2.59E-07,17,PE,0,49,3.5668,1.7377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.19,76.88,7.93,7.41,6.11,6.16,1.82,1.69,7.05,7.15,5.55,5.61,1.88,1.85,45C,017D,7.385,5.8575,0.001512451,0.76375,1048.224685,0.00174495,0.001657755,NA,NA,0.103419093,0.171140692,0.028806488,41.04507435,0.077058997,0.018489724,0.058569274,2.922021756,2.887713226,1.188086465
93,018D,6.523269125,-0.033630069,0.99125,40.7529625,0.244106821,24.34974886,0.467208217,5.19E-07,18,PE,0,54,6.3888,3.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.26,82.34,10.15,8.95,7.58,7.52,1.22,1.19,9.87,9.03,6.82,7.94,1.2,1.36,45C,018D,9.5,7.465,0.001888003,1.0175,1857.79625,0.001773068,0.001665845,NA,NA,0.107105263,0.274651244,0.052433054,40.70052945,0.075665266,0.018475603,0.057189662,4.802463113,4.766237134,0.760054063
94,019D,4.174690526,-0.034716723,0.99236,42.13856292,1.943701235,21.64073596,1.709555292,5.35E-07,19,PE,0,60,3.9918,1.9674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.51,73.44,8.39,8.22,6.63,6.56,1.1,0.82,7.67,7.94,6.03,6.84,0.65,0.55,45C,019D,8.055,6.515,0.001531238,0.77,1191.252339,0.001699388,0.001651539,NA,NA,0.0955928,0.349584881,0.061453582,42.07710934,0.081367083,0.01766534,0.063701742,5.487838615,5.406303463,1.508149747
